dict_prices,dict_address,dict_sqft,dict_acres,dict_url,dict_broker
"$38,900","Tbd479 Anchors Away,Brownwood, TX 76801",0,0.31,https://www.realtor.com/realestateandhomes-detail/Tbd479-Anchors-Away_Brownwood_TX_76801_M95891-04802?from=srp-list-card,Brokered by Heart of Texas Real Estate
"$1,100,000","14758 Highway 279,Brownwood, TX 76801",0,164.45,https://www.realtor.com/realestateandhomes-detail/14758-Highway-279_Brownwood_TX_76801_M90571-48748?from=srp-list-card,Brokered by Trinity Ranch Land - Cisco
"$28,000","Tbd59 Falcon Dr,Brownwood, TX 76801",0,0.26,https://www.realtor.com/realestateandhomes-detail/Tbd59-Falcon-Dr_Brownwood_TX_76801_M97489-49695?from=srp-list-card,Brokered by Heart of Texas Real Estate
"$285,000","17851 County Road 229,Brownwood, TX 76801",0,15,https://www.realtor.com/realestateandhomes-detail/17851-County-Road-229_Brownwood_TX_76801_M91672-92372?from=srp-list-card,Brokered by Janette Padgette Real Estate
"$38,000","Tbd949 Feather Bay Dr,Brownwood, TX 76801",0,0.3,https://www.realtor.com/realestateandhomes-detail/Tbd949-Feather-Bay-Dr_Brownwood_TX_76801_M94418-62311?from=srp-list-card,Brokered by Heart of Texas Real Estate
"$1,150,000","County Road 121,Brownwood, TX 76801",0,253.91,https://www.realtor.com/realestateandhomes-detail/County-Road-121_Brownwood_TX_76801_M92075-82088?from=srp-list-card,"Brokered by Railhead Realty, Llc"
"$279,000","809 Brook Hollow St,Brownwood, TX 76801","1,950",0.35,https://www.realtor.com/realestateandhomes-detail/809-Brook-Hollow-St_Brownwood_TX_76801_M79197-22793?from=srp-list-card,"Brokered by Donnie Stegemoller, REALTORS®"
"$45,000","68 County Road 611 Rd,Brownwood, TX 76801",0,0.61,https://www.realtor.com/realestateandhomes-detail/68-Country-Club-Dr_Brownwood_TX_76801_M95795-44992?from=srp-list-card,"Brokered by Wilco, Realtors"
"$29,900","Feather Bay Blvd,Brownwood, TX 76801",0,0.4,https://www.realtor.com/realestateandhomes-detail/Feather-Bay-Blvd_Brownwood_TX_76801_M83246-72958?from=srp-list-card,Brokered by Ranch Connection LLC
"$19,900","505 6th St,Brownwood, TX 76801",0,0.34,https://www.realtor.com/realestateandhomes-detail/505-6th-St_Brownwood_TX_76801_M77266-61609?from=srp-list-card,"Brokered by All City Real Estate, Ltd. Co."
"$11,900","1110 Crothers St,Brownwood, TX 76801",0,"7,013",https://www.realtor.com/realestateandhomes-detail/1110-Crothers-St_Brownwood_TX_76801_M80192-22860?from=srp-list-card,"Brokered by All City Real Estate, Ltd. Co."
"$11,900","1108 Crothers St,Brownwood, TX 76801",0,"7,013",https://www.realtor.com/realestateandhomes-detail/1108-Crothers-St_Brownwood_TX_76801_M80190-36530?from=srp-list-card,"Brokered by All City Real Estate, Ltd. Co."
"$375,000","1903 11th St,Brownwood, TX 76801","2,461",0.45,https://www.realtor.com/realestateandhomes-detail/1903-11th-St_Brownwood_TX_76801_M82599-23582?from=srp-list-card,"Brokered by Donnie Stegemoller, REALTORS®"
"$525,000","2401 FM 1849,Brownwood, TX 76801","2,891",9.49,https://www.realtor.com/realestateandhomes-detail/2401-FM-1849_Brownwood_TX_76801_M73597-27475?from=srp-list-card,"Brokered by TURNKEY REALTY, LLC"
"$174,500","1504 Phillips Dr,Brownwood, TX 76801","1,654",0,https://www.realtor.com/realestateandhomes-detail/1504-Phillips-Dr_Brownwood_TX_76801_M74497-52913?from=srp-list-card,
"$559,000","7523 Seagull Dr,Brownwood, TX 76801","1,998",0,https://www.realtor.com/realestateandhomes-detail/7523-Seagull-Dr_Brownwood_TX_76801_M85347-41075?from=srp-list-card,
"$158,000","160 County Road 473,Brownwood, TX 76801","1,288",0,https://www.realtor.com/realestateandhomes-detail/160-County-Road-473_Brownwood_TX_76801_M76005-39995?from=srp-list-card,
"$235,000","8982 County Road 149,Brownwood, TX 76801",584,0,https://www.realtor.com/realestateandhomes-detail/8982-County-Road-149_Brownwood_TX_76801_M90293-09087?from=srp-list-card,
"$425,000","7231 Ardee Dr,Brownwood, TX 76801","2,266",0,https://www.realtor.com/realestateandhomes-detail/7231-Ardee-Dr_Brownwood_TX_76801_M76986-23956?from=srp-list-card,
"$169,000","3908 Crestridge Dr,Brownwood, TX 76801","1,092",0,https://www.realtor.com/realestateandhomes-detail/3908-Crestridge-Dr_Brownwood_TX_76801_M82546-31818?from=srp-list-card,
"$890,000","2007 Deepwater Rd,Brownwood, TX 76801","2,450",0,https://www.realtor.com/realestateandhomes-detail/2007-Deepwater-Rd_Brownwood_TX_76801_M83960-93336?from=srp-list-card,
"$999,998","2150 FM 1176,Brownwood, TX 76801","3,876",0,https://www.realtor.com/realestateandhomes-detail/2150-FM-1176_Brownwood_TX_76801_M80349-29889?from=srp-list-card,
"$356,820","7284 Feather Bay Blvd,Brownwood, TX 76801","1,878",0,https://www.realtor.com/realestateandhomes-detail/7284-Feather-Bay-Blvd_Brownwood_TX_76801_M89358-95403?from=srp-list-card,
"$59,000","584 Breezy St,Brownwood, TX 76801",0,0,https://www.realtor.com/realestateandhomes-detail/584-Breezy-St_Brownwood_TX_76801_M94020-67508?from=srp-list-card,
"$49,000","993 Long View Dr,Brownwood, TX 76801",0,0,https://www.realtor.com/realestateandhomes-detail/Long-View-Dr_Brownwood_TX_76801_M71082-25925?from=srp-list-card,
"$25,000","1218 Feather Bay Dr,Brownwood, TX 76801",0,0,https://www.realtor.com/realestateandhomes-detail/Feather-Bay-Dr_Brownwood_TX_76801_M71164-61699?from=srp-list-card,
"$75,000","Tbd598 Breezy St,Brownwood, TX 76801",0,0,https://www.realtor.com/realestateandhomes-detail/Breezy-St_Brownwood_TX_76801_M85354-49128?from=srp-list-card,
"$77,500","804805 Bay Breeze Dr,Brownwood, TX 76801",0,0,https://www.realtor.com/realestateandhomes-detail/804805-Bay-Breeze-Dr_Brownwood_TX_76801_M90170-90823?from=srp-list-card,
